	text
0	elon musk loses billion in net worth as tesla stock prices plummet news
1	elon musk wasn twitter supposed to die by now or something socialmedia news breakingnews
2	investors may see tesla as house of cards after watching elon musk sow chaos at twitter cnbc analyst 
3	severely increased post musk walking into that building one of the researchers behind the work says the ful 
4	 news elon musk tweets namaste to indians twitter in splits read more 
5	 tech newsflash voices worked at twitter for seven years this is what want you to know 
6	 tech newsflash how elon musk twitter takeover is ruining his own myth and tesla stock 
7	elon musk twitter risks big fines from us regulators news technology trends future innovation technews
8	huge news twitter ceo elonmusk declares purging the platform of child sexual exploitation priority 
9	 how to get started on hive social news information business travel food sports 
10	elon musk names korea among top candidates for ev investment yoon office stockmarket stocks finance news
11	tesla ceo elon musk has said that south korea is among its top candidate locations to build an electric vehicles 
12	elon musk considers south korea for next tesla gigafactory more info here tesla 
13	 elon musk defends cop who killed unarmed black man in ferguson news information 
14	 tech newsflash trent reznor says he moving on from twitter and elon musk is taking it personally 
15	 tech newsflash elon musk clarifies that he makes final decisions on twitter posts technology bot news
16	 tech newsflash falling tesla stocks have taken billion bite out of elon musk fortune 
17	eu to elon musk twitter we will have control we will have access people will no longer be able to say just 
18	eu to elon musk twitter we will have control we will have access people will no longer be able to say just 
19	musk twitter takeover triggers partisan clash via wsj news wsj
20	elon musk loses billion wealth in year worst hit among world richest 
21	elon musk temporarily closes twitter offices amidst mass resignation elonmask news 
22	 adult performers trump supporters and parodies who is paying for twitter by by stuart thompson via nyt new 
23	congress should investigate elon musk business ties with china politicslive news 
24	 gamification news elon musk has said he about context on tweets so here context for these shirt 
25	 follow for daily tldr news news tldr tldrnews twitter elonmusk musk musktwitter elonmusktwitter 
26	trump clearly has some kind of psychodrama going on with musk culture civilrights 
27	elon musk loses billion as tesla share price continues to sink news
28	elon musk to address twitter child sexual exploitation problem news
29	 elon musk blamed the media west in spreading brazen lies about missiles that fell in poland which threatened 
30	elon musk is reportedly considering cutting more of twitter workforce 
31	in an all hands meeting with employees informed that the company would resume active recruitmen 
32	 news via nyt by mike isaac and ryan mac as elon musk cuts costs at twitter some bills are going unpaid 
33	elon has announced now that the festering wound that was twitter is over it purge they ll now be hiring again 
34	read now tips insider news elon musk has upended twitter business here how he could fix it 
35	 as elon musk cuts costs at twitter some bills are going unpaid via trending news
36	nytimes what elon musk is doing to twitter is what he did at tesla and spacex is not an op ed and actually 
37	secret text sam bankman fried elon musk two weeks after clinching deal for b elonmusk texted sbf invit 
38	elon musk ceo of tesla spacex and twitter has seen his wealth dwindle by over billion this tesla news 
39	elon musk cheers woke journalist migration from twitter news
40	elon musk has himself to blame for twitter advertising woes civil rights groups say via cnbc news cnbc
41	 elon musk tries to blame activists for his twitter moderation council lie news 
42	supreme court allows handover of trump tax returns to congress live the independent news 
43	breaking bankman fried was an investor in musk twitter deal his contribution amounted to million news 
44	don like musk work for us tech firms woo ex twitter staff news tech technology technews 
45	elon musk reinstates trump twitter account news breaking_news business finance markets nyc
46	 you ve worked for an erratic and unpredictable boss like elon musk tell us what happened 
47	elon musk twitter will delay reintroducing blue check verification business news 
48	huge thanks to journalist for interviewing me for her big post about twitter had fun talking 
49	when breaking news is tweet away 
50	 news twitter elon musk wants twitter dms to be more secure interested in video and voice chat 
